"1","20","due lump alcohol pollution cause"
"1","27","firewall absolute energy light bright"
"1","30","feel eht hole sun physicists"
"1","35","relativity warps via black higher"
"2","12","princess michael named oz hours"
"2","15","pictured hospital cambridges parents carole"
"2","34","registered kensington buckingham charlotte visiting"
"3","12","spending time company document just"
"3","37","monday london every charlotte sister"
"3","40","heat oncogenes chromosome occurs different"
"4","20","disappointing horizon years wave never"
"4","25","much coming pollster field kingdom"
"4","41","mantle snp seats ended party"
"5","10","register birth near registrar royals"
"5","15","princess lbs made near norfolk"
"5","28","royal fourth born hospital register"
"6","20","cameron party part fit seemed"
"6","31","party mps political ogroats greatest"
"6","44","danny resentment painful scottish horizon"
"6","45","three mps set one scene"
"7","28","princess royal city tradition formally"
"7","29","took also sandringham tower office"
"7","39","duchess royal cambridge oz elizabeth"
"8","18","galactic black part feet test"
"8","24","black einsteins radiation cool allow"
"8","26","built library dream ozel offer"
"9","16","swept much snp miliband london"
"9","17","says seats parliamentary parliamentary ogroats"
"9","20","nationalist prime disappointing swept country"
"9","21","two uppermost political challenges bbc"
"9","35","make environmental abnormally genetic generally"
"10","14","gun granddaughter prince named palace"
"10","32","greatgranddaughter visiting visiting tower westminster"
"10","34","sunday many lbs register royals"
"10","39","company granddaughter leaving wearing presented"
"11","13","election result reclaim mutual part"
"11","20","result five bbc clegg many"
"11","40","around never seats resentment suffered"
"12","15","palace child duchess leaving line"
"12","22","second charlotte cambridge also greatgranddaughter"
"12","34","procession signed charlotte daughter follows"
"12","37","gives spending named charlotte charlottes"
"13","21","suffered emerged scene reducing dominates"
"13","44","part last prime prevent party"
"14","22","greatgranddaughter royals duke carole tower"
"14","28","greatgranddaughter shawl prince full saturday"
"15","37","princess named barracks kg meets"
"15","39","registrar gun westminster city princess"
"16","17","party though union ended part"
"16","21","principle left want governing treatment"
"17","40","resentment assumed given party cable"
"18","35","swirls darkness producing implodes inside"
"18","38","warps spherical light event pole"
"18","43","principle appear higher bigger moving"
"19","30","travelling hole exhausts problem importantly"
"19","35","hopes doeleman smashed around hypothesis"
"19","38","one accurate hole wall according"
"19","43","milky hole gathered hole hole"
"20","36","spare dems mutual westminster english"
"20","45","vote one david future union"
"21","36","fall result fall one opponents"
"21","44","farage preferential field majority parties"
"23","30","quantum black example drain cross"
"23","35","sun first include planetsized proof"
"24","26","incorporate holes degrees stars times"
"24","30","project credit exist directly us"
"25","33","cameron lost extraordinary painful resentment"
"25","40","supports uk last seat think"
"25","42","greatest years one dozens preferential"
"26","30","also remember tugs around bordering"
"26","36","fundamentally great failure descendantsreplication required"
"26","39","prove indicate multiple plenty two"
"27","30","journey ll tugs inside soon"
"27","43","something energy zip hole home"
"28","34","duke soldiers middleton princess palace"
"28","39","mark first royals monday greatgranddaughter"
"29","32","duke register parents princess prince"
"29","37","londons met new spent charlotte"
"29","39","gun greatgranddaughter princess named birth"
"30","38","mit hole chunks point hole"
"31","44","across united greatest nigel lost"
"31","45","cameron elsewhere dominates last united"
"34","37","occupations senior sunday spent norfolk"
"35","38","falling anything degree institute ring"
"36","40","seats governing resentment took government"
"37","42","errors chance mutations ionizing virus"
"40","41","just one slender says triumph"
"40","42","vote set dozens john dozens"
"40","44","assumed many five ended different"
