"1","2","gain ended future future three"
"1","4","reducing conservative mind united implications"
"1","10","lack cause inherited gain failure"
"1","11","gain clegg cameron view conservative"
"1","12","diseases cells factors papillomavirus characteristic"
"2","4","party elsewhere seemed uppermost certainly"
"2","15","resentment north across england implemented"
"3","8","duchess princess princess salutes cambridge"
"3","12","saturday duchess new formally duchess"
"4","6","political five seats seats gain"
"4","11","sea set government think lost"
"5","6","together westminster size even two"
"5","11","political prevent one yellow dominates"
"6","11","disappointing danny took enough taxis"
"6","15","prevent future new apart fit"
"7","14","alexander union left fall triggered"
"7","15","certainly mantle party dominates examine"
"9","13","two dna oncogenes cancer many"
"11","14","cameron won new scene correspondents"
"13","14","much spread oncogenes mutations inhibit"
